task,cohort,cls,fin,input,output,cache_read,cache_creation,total,cost
426-metrum_nd_meta_vitamin,recent_24h,no_extraction,2026-06-24T15:00:06.646683+00:00,25,8892,433391,60811,503119,0.8205
475-metrum_nd_issue_controlling,recent_24h,no_extraction,2026-06-24T23:32:32.312925+00:00,14,2734,349322,49767,401837,0.5553
464-metrum_nd_time_event_2,recent_24h,no_extraction,2026-06-24T21:48:58.791714+00:00,19,10396,779452,65917,855784,1.0629
453-metrum_nd_systematic_extension,recent_24h,no_extraction,2026-06-24T20:35:33.309375+00:00,22,7154,977334,56411,1040921,1.0214
488-metrum_nd_bayesian_approaches,recent_24h,no_extraction,2026-06-25T05:07:04.741777+00:00,14,3008,347681,49261,399964,0.5582
451-metrum_nd_evidence_synthesis,recent_24h,no_extraction,2026-06-24T20:28:41.303092+00:00,16,8422,508269,59650,576357,0.8388
482-metrum_nd_preliminary_humanized,recent_24h,extraction,2026-06-25T01:22:43.967175+00:00,84,38833,8014908,218645,8272470,6.3465
345-metrum_nd_semi_physiological,recent_24h,extraction,2026-06-24T15:21:51.607722+00:00,56,35533,2381989,155356,2572934,3.0532
454-metrum_nd_value_evidence,recent_24h,no_extraction,2026-06-24T20:38:21.783847+00:00,21,8029,524452,60663,593165,0.8434
467-metrum_nd_application_multiscale,recent_24h,no_extraction,2026-06-24T22:00:41.203942+00:00,14,5257,361088,52577,418936,0.6419
492-metrum_nd_acknowledging_incorporating,recent_24h,no_extraction,2026-06-25T06:24:30.889930+00:00,15,4744,444050,57907,506716,0.7038
428-metrum_nd_advisory_meeting,recent_24h,no_extraction,2026-06-24T15:19:55.312224+00:00,18,5372,664097,56033,725520,0.8179
497-metrum_nd_nmqual_tool,recent_24h,no_extraction,2026-06-25T07:58:02.113475+00:00,15,2211,414149,46558,462933,0.5547
457-metrum_nd_application_simulation,recent_24h,no_extraction,2026-06-24T21:43:59.415435+00:00,17,6600,606597,61809,675023,0.8559
468-metrum_nd_longitudinal_dose,recent_24h,no_extraction,2026-06-24T22:04:08.889861+00:00,20,7548,456560,60987,525115,0.7995
513-certara_nd_simulation_bone,recent_24h,extraction,2026-06-25T11:35:53.592393+00:00,133,125060,25525831,386594,26037618,18.3076
414-metrum_nd_data_challenges,recent_24h,no_extraction,2026-06-24T13:22:31.715462+00:00,22,5629,981630,58937,1046218,1.0012
419-metrum_nd_simulation_framework,recent_24h,no_extraction,2026-06-24T13:39:20.576040+00:00,4121,5122,441289,56299,506831,0.7224
433-metrum_nd_exposure_response_11,recent_24h,no_extraction,2026-06-24T15:23:19.626415+00:00,14,2938,345767,48126,396845,0.5484
505-metrum_nd_estimation_prediction,recent_24h,no_extraction,2026-06-25T09:18:16.756005+00:00,15,4025,415842,49798,469680,0.6211
421-metrum_nd_linking_mechanistic,recent_24h,no_extraction,2026-06-24T14:48:01.692317+00:00,24,12025,844139,79645,935833,1.2218
484-metrum_nd_fosamprenavir_pediatric,recent_24h,extraction,2026-06-25T02:47:28.608448+00:00,121,76811,17172192,333403,17582527,12.592
471-metrum_nd_extension_multiscale,recent_24h,no_extraction,2026-06-24T23:21:42.885654+00:00,22,9415,606303,65624,681364,0.9501
413-metrum_nd_estimation_exposure,recent_24h,no_extraction,2026-06-24T12:18:15.928531+00:00,26,5304,499536,54691,559557,0.7255
427-metrum_nd_sclerostin_mediated,recent_24h,no_extraction,2026-06-24T15:05:02.335324+00:00,21,14527,529395,66161,610104,1.0428
477-metrum_nd_impact_missing,recent_24h,no_extraction,2026-06-25T00:44:22.280832+00:00,15,3794,425607,50396,479812,0.6239
506-certara_nd_effective_visualizations,recent_24h,no_extraction,2026-06-25T09:21:27.455703+00:00,14,6168,376794,65466,448442,0.7531
425-metrum_nd_assessment_propensity,recent_24h,no_extraction,2026-06-24T14:56:31.717664+00:00,13,2768,278381,47854,329016,0.5088
418-metrum_nd_pharmacometricians_perspective,recent_24h,no_extraction,2026-06-24T13:37:12.472740+00:00,14,2713,346820,48549,398096,0.546
441-metrum_nd_systems_pharmacology_3,recent_24h,no_extraction,2026-06-24T16:15:44.334263+00:00,15,4717,418196,51052,473980,0.6474
456-metrum_nd_applying_multiscale,recent_24h,no_extraction,2026-06-24T21:43:56.211440+00:00,16,6295,503415,53185,562911,0.7428
496-metrum_nd_acknowledging_parameter_2,recent_24h,no_extraction,2026-06-25T07:56:26.282633+00:00,21,6022,556157,69074,631274,0.8617
500-metrum_nd_sedative_doses,recent_24h,extraction,2026-06-25T09:28:36.639007+00:00,26,11362,1419021,75312,1505721,1.4656
459-metrum_nd_rapid_sustained,recent_24h,no_extraction,2026-06-24T21:45:30.349860+00:00,19,7449,730626,56011,794105,0.9029
449-metrum_nd_sumo_authenticating,recent_24h,no_extraction,2026-06-24T17:46:14.342327+00:00,14,3085,350038,50110,403247,0.5666
431-metrum_nd_software_real,recent_24h,no_extraction,2026-06-24T15:21:56.011372+00:00,27,6831,986086,61698,1054642,1.0508
424-metrum_nd_simulation_filling,recent_24h,no_extraction,2026-06-24T14:54:01.695110+00:00,17,3541,587360,60072,650990,0.759
507-certara_nd_static_versus,recent_24h,no_extraction,2026-06-25T09:24:21.316475+00:00,17,5168,656034,71326,732545,0.9043
408-metrum_nd_evaluating_effectiveness_2,recent_24h,no_extraction,2026-06-24T11:55:04.959613+00:00,13,2904,273860,46430,323207,0.501
504-metrum_nd_full_estimation,recent_24h,no_extraction,2026-06-25T09:16:05.383378+00:00,22,6162,634930,71088,712202,0.9172
485-metrum_nd_rpad_open,recent_24h,no_extraction,2026-06-25T05:00:23.710601+00:00,15,4068,428208,51376,483667,0.6382
480-metrum_nd_trial_simulation,recent_24h,no_extraction,2026-06-25T00:54:47.540260+00:00,14,6061,357729,55558,419362,0.679
455-metrum_nd_affiliation_between,recent_24h,no_extraction,2026-06-24T21:42:55.105986+00:00,14,2478,342214,45735,390441,0.5202
410-metrum_nd_role_simulation,recent_24h,no_extraction,2026-06-24T11:59:48.379900+00:00,14,5328,350228,53139,408709,0.6417
444-metrum_nd_opportunities_challenges,recent_24h,no_extraction,2026-06-24T16:24:58.966268+00:00,13,3341,280452,49270,333076,0.533
409-metrum_nd_zika_microcephaly,recent_24h,no_extraction,2026-06-24T11:56:50.591295+00:00,20,4239,417730,50463,472452,0.6316
434-metrum_nd_self_auditing,recent_24h,no_extraction,2026-06-24T15:23:19.917319+00:00,15,2942,420338,48521,471816,0.5883
473-metrum_nd_utilizing_nonmem,recent_24h,no_extraction,2026-06-24T23:27:21.672066+00:00,17,3741,566158,50169,620085,0.6915
472-metrum_nd_comparison_mcmc,recent_24h,no_extraction,2026-06-24T23:24:49.349710+00:00,20,4374,426889,53662,484945,0.6595
438-metrum_nd_pkpd_vegf,recent_24h,extraction,2026-06-24T15:59:23.349035+00:00,174,103131,38115545,420791,38639641,24.2682
495-metrum_nd_drug_optimization,recent_24h,no_extraction,2026-06-25T07:53:37.887643+00:00,21,6960,511552,56502,575035,0.7843
463-metrum_nd_systematic_review_2,recent_24h,no_extraction,2026-06-24T21:47:11.058398+00:00,14,2685,345202,48098,395999,0.5416
430-metrum_nd_aminocaproic_acid,recent_24h,extraction,2026-06-24T15:21:19.224827+00:00,19,11662,930984,89612,1032277,1.3185
442-metrum_nd_calcilytic_parathyroid,recent_24h,no_extraction,2026-06-24T16:20:27.998851+00:00,20,13519,449325,63614,526478,0.9616
422-metrum_nd_trends_application,recent_24h,no_extraction,2026-06-24T14:49:50.725161+00:00,14,3711,349885,49293,402903,0.5771
