archetype,era,cost,source
linear 2-cmt PK,pre0622,15.3953,registry
linear 2-cmt PK,pre0622,1.4895,registry
linear 2-cmt PK,pre0622,10.0753,registry
linear 2-cmt PK,pre0622,0.9821,registry
linear 1-cmt PK,pre0622,7.3507,registry
linear 1-cmt PK,pre0622,0.9296,registry
linear 1-cmt PK,pre0622,13.8083,registry
linear 2-cmt PK,pre0622,22.6645,registry
linear 2-cmt PK,pre0622,12.0039,registry
linear 2-cmt PK,pre0622,1.8683,registry
linear 2-cmt PK,pre0622,9.3772,registry
linear 2-cmt PK,pre0622,2.1606,registry
linear 2-cmt PK,pre0622,2.0495,registry
linear 2-cmt PK,pre0622,1.1541,registry
linear 2-cmt PK,pre0622,22.5364,registry
linear 2-cmt PK,pre0622,9.3497,registry
linear 1-cmt PK,pre0622,9.7146,registry
linear 1-cmt PK,pre0622,12.506,registry
TTE/survival,pre0622,8.6201,registry
linear 2-cmt PK,pre0622,12.4927,registry
linear 1-cmt PK,pre0622,12.2478,registry
TMDD,pre0622,21.3118,registry
linear 3-cmt PK,pre0622,10.5415,registry
linear 3-cmt PK,pre0622,14.0367,registry
linear 1-cmt PK,pre0622,6.668,registry
linear 2-cmt PK,pre0622,7.1351,registry
linear 1-cmt PK,pre0622,11.3257,registry
linear 2-cmt PK,pre0622,14.6939,registry
Emax/effect PD,pre0622,9.1555,registry
linear 2-cmt PK,pre0622,2.0018,registry
linear 2-cmt PK,pre0622,8.391,registry
TTE/survival,pre0622,7.3423,registry
linear 1-cmt PK,pre0622,15.4492,registry
linear 2-cmt PK,pre0622,17.5886,registry
linear 2-cmt PK,pre0622,16.1471,registry
linear 2-cmt PK,pre0622,9.2448,registry
linear 2-cmt PK,pre0622,12.0637,registry
indirect-response PD,pre0622,13.3071,registry
linear 1-cmt PK,pre0622,11.59,registry
linear 1-cmt PK,pre0622,9.4059,registry
linear 2-cmt PK,pre0622,6.4303,registry
TMDD,pre0622,3.8367,registry
TMDD,pre0622,1.1553,registry
TMDD,pre0622,7.5147,registry
TMDD,pre0622,9.5468,registry
linear 3-cmt PK,pre0622,16.2265,registry
linear 3-cmt PK,pre0622,1.8418,registry
linear 1-cmt PK,pre0622,3.2062,registry
linear 1-cmt PK,pre0622,15.22,registry
linear 2-cmt PK,pre0622,9.9674,registry
linear 2-cmt PK,pre0622,7.3071,registry
